issn,issn_norm,title,title_norm,publisher,imprint,model,usd,eur,gbp,source
1557-380X,1557380X,DMS - The Journal of Defense Modeling and Simulation,dms journal defense modeling simulation,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1557-7430,15577430,DNA and Cell Biology,dna cell biology,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2397-3498,23973498,Downside Review,downside review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2050-3245,20503245,"Drug Science, Policy and Law",drug science policy law,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1533-8371,15338371,East European Politics and Societies,east european politics societies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7099,14617099,Economic and Industrial Democracy,economic industrial democracy,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-3543,15523543,Economic Development Quarterly,economic development quarterly,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1942-9347,19429347,Ecopsychology,ecopsychology,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
3068-1391,30681391,Education and Training in Autism and Developmental Disabilities,education training autism developmental disabilities,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1552-3535,15523535,Education and Urban Society,education urban society,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1875-8649,18758649,Education for Information,education information,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1746-1987,17461987,"Education, Citizenship and Social Justice",education citizenship social justice,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-3519,15523519,Educational Administration Quarterly,educational administration quarterly,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-3888,15523888,Educational and Psychological Measurement,educational psychological measurement,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1935-1062,19351062,Educational Evaluation and Policy Analysis,educational evaluation policy analysis,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1741-1440,17411440,Educational Management Administration & Leadership,educational management administration leadership,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-3896,15523896,Educational Policy,educational policy,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1935-102X,1935102X,Educational Researcher,educational researcher,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2042-7530,20427530,E-Learning and Digital Media,e learning digital media,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1557-8062,15578062,"Election Law Journal: Rules, Politics, and Policy",election law journal rules politics policy,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1931-244X,1931244X,Electronic News,electronic news,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2167-6984,21676984,Emerging Adulthood,emerging adulthood,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2454-2148,24542148,Emerging Economy Studies,emerging economy studies,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1754-0747,17540747,Emotion Review,emotion review,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1541-4493,15414493,Empirical Studies of the Arts,empirical studies arts,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2048-4070,20484070,Energy & Environment,energy environment,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1944-9089,19449089,"Energy Journal, The",energy journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2515-1274,25151274,Entrepreneurship Education and Pedagogy,entrepreneurship education pedagogy,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1540-6520,15406520,"Entrepreneurship, Theory & Practice",entrepreneurship theory practice,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-390X,1552390X,Environment and Behavior,environment behavior,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1472-3409,14723409,Environment and Planning A,environment planning,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2399-8091,23998091,Environment and Planning B,environment planning b,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2399-6552,23996552,Environment and Planning C,environment planning c,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1472-3433,14723433,Environment and Planning D,environment planning d,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2514-8494,25148494,Environment and Planning E,environment planning e,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2634-9825,26349825,Environment and Planning F,environment planning f,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2753-8796,27538796,Environment and Security,environment security,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1746-0301,17460301,Environment and Urbanization,environment urbanization,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
0976-3546,09763546,Environment and Urbanization Asia,environment urbanization asia,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1557-9018,15579018,Environmental Engineering Science,environmental engineering science,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1937-5174,19375174,Environmental Justice,environmental justice,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1740-5564,17405564,Environmental Law Review,environmental law review,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1752-7015,17527015,Environmental Values,environmental values,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2752-6461,27526461,Equity in Education & Society,equity education society,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2169-5083,21695083,Ergonomics in Design: The Quarterly of Human Factors Applications,ergonomics design quarterly human factors applications,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1741-2706,17412706,Ethnicities,ethnicities,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2714,17412714,Ethnography,ethnography,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1474-9041,14749041,European Educational Research Journal,european educational research journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7110,14617110,European History Quarterly,european history quarterly,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1460-3705,14603705,European Journal of Communication,european journal communication,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2609,17412609,European Journal of Criminology,european journal criminology,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1460-3551,14603551,European Journal of Cultural Studies,european journal cultural studies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7129,14617129,European Journal of Industrial Relations,european journal industrial relations,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1460-3713,14603713,European Journal of International Relations,european journal international relations,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1751-6838,17516838,European Journal of Mass Spectrometry,european journal mass spectrometry,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1724-6016,17246016,European Journal of Ophthalmology,european journal ophthalmology,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1099-0984,10990984,European Journal of Personality,european journal personality,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1741-2730,17412730,European Journal of Political Theory,european journal political theory,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2066-2203,20662203,European Journal of Probation,european journal probation,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2399-2948,23992948,European Journal of Social Security,european journal social security,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7137,14617137,European Journal of Social Theory,european journal social theory,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7420,14617420,European Journal of Women's Studies,european journal women s studies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2399-5556,23995556,European Labour Law Journal,european labour law journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2749,17412749,European Physical Education Review,european physical education review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2757,17412757,European Union Politics,european union politics,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7145,14617145,European Urban and Regional Studies,european urban regional studies,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1461-7153,14617153,Evaluation,evaluation,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-3918,15523918,Evaluation & the Health Professions,evaluation health professions,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2515-9372,25159372,Evaluation Journal of Australasia,evaluation journal australasia,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1552-3926,15523926,Evaluation Review,evaluation review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1176-9343,11769343,Evolutionary Bioinformatics,evolutionary bioinformatics,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2163-5560,21635560,Exceptional Children,exceptional children,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1745-5308,17455308,Expository Times,expository times,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2732-5016,27325016,FACE,face,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2689-3622,26893622,Facial Plastic Surgery and Aesthetic Medicine,facial plastic surgery aesthetic medicine,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1945-1350,19451350,Families in Society,families society,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-6248,17416248,Family Business Review,family business review,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-3950,15523950,"Family Journal, The",family journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-7161,14617161,Feminism & Psychology,feminism psychology,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1557-086X,1557086X,Feminist Criminology,feminist criminology,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1466-4380,14664380,Feminist Review,feminist review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1745-5189,17455189,Feminist Theology,feminist theology,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2773,17412773,Feminist Theory,feminist theory,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-3969,15523969,Field Methods,field methods,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2455-2658,24552658,FIIB Business Review,fiib business review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1740-2344,17402344,First Language,first language,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1538-4829,15384829,Focus on Autism and Other Developmental Disabilities,focus autism other developmental disabilities,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1564-8265,15648265,Food and Nutrition Bulletin,food nutrition bulletin,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1532-1738,15321738,Food Science and Technology International,food science technology international,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1556-7125,15567125,Foodborne Pathogens and Disease,foodborne pathogens disease,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1944-7876,19447876,Foot & Ankle International,foot ankle international,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1938-7636,19387636,Foot and Ankle Specialist,foot ankle specialist,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2634-5161,26345161,Foregut,foregut,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
0971-7625,09717625,Foreign Trade Review,foreign trade review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2690-8964,26908964,Forensic Genomics,forensic genomics,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2168-989X,2168989X,Forum Italicum,forum italicum,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1740-2352,17402352,French Cultural Studies,french cultural studies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1875-8681,18758681,Fundamenta Informaticae,fundamenta informaticae,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1555-4139,15554139,Games and Culture,games culture,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2161-7856,21617856,Games for Health Journal,games health journal,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2572-5327,25725327,Gaming Law Review,gaming law review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2768-1556,27681556,GEN Biotechnology,gen biotechnology,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1552-3977,15523977,Gender & Society,gender society,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2977-7623,29777623,Gender Equity,gender equity,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1945-0257,19450257,Genetic Testing and Molecular Biomarkers,genetic testing molecular biomarkers,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2397-0030,23970030,German Journal of Human Resource Management,german journal human resource management,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1934-9041,19349041,Gifted Child Quarterly,gifted child quarterly,SAGE,,hybrid,2600,,1907,SAGE Choice hybrid price list 2026.xlsx
2162-951X,2162951X,Gifted Child Today,gifted child today,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2047-9077,20479077,Gifted Education International,gifted education international,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
0973-0664,09730664,Global Business Review,global business review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1757-9767,17579767,Global Health Promotion,global health promotion,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
0975-2730,09752730,Global Journal of Emerging Market Economies,global journal emerging market economies,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1742-7673,17427673,Global Media and Communication,global media communication,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-2803,17412803,Global Social Policy,global social policy,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2043-6106,20436106,Global Studies of Childhood,global studies childhood,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1552-3993,15523993,Group & Organization Management,group organization management,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1461-717X,1461717X,Group Analysis,group analysis,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1461-7188,14617188,Group Processes & Intergroup Relations,group processes intergroup relations,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1558-9455,15589455,Hand,hand,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1758-9991,17589991,Hand Therapy,hand therapy,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1552-6127,15526127,Health Education & Behavior,health education behavior,SAGE,,hybrid,4710,,3454,SAGE Choice hybrid price list 2026.xlsx
1748-8176,17488176,Health Education Journal,health education journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1833-3575,18333575,Health Information Management Journal,health information management journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-6372,15526372,Health Promotion Practice,health promotion practice,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2326-5108,23265108,Health Security,health security,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1758-1044,17581044,Health Services Management Research,health services management research,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1461-7196,14617196,Health: An Interdisciplinary Journal,health interdisciplinary journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2352-3883,23523883,Healthcare Management Forum,healthcare management forum,SAGE,,hybrid,3300,,2420,SAGE Choice hybrid price list 2026.xlsx
2167-5112,21675112,HERD: Health Environments Research & Design Journal,herd health environments research design journal,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1557-8682,15578682,High Altitude Medicine and Biology,high altitude medicine biology,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1361-6412,13616412,High Performance Polymers,high performance polymers,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2348-5779,23485779,Higher Education for the Future,higher education future,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1724-6067,17246067,HIP International,hip international,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1938-8993,19388993,Hispanic Health Care International,hispanic health care international,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-6364,15526364,Hispanic Journal of Behavioral Sciences,hispanic journal behavioral sciences,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2249-5312,22495312,History and Sociology of South Asia,history sociology south asia,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1740-2360,17402360,History of Psychiatry,history psychiatry,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1753-8564,17538564,History of Science,history science,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1461-720X,1461720X,History of the Human Sciences,history human sciences,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1477-0911,14770911,"Holocene, The",holocene,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-6739,15526739,Home Health Care Management & Practice,home health care management practice,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1552-6720,15526720,Homicide Studies,homicide studies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1945-1253,19451253,Hospital Pharmacy,hospital pharmacy,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1556-3324,15563324,HSS Journal: The Musculoskeletal Journal of Hospital for Special Surgery,hss journal musculoskeletal journal hospital special surgery,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1875-869X,1875869X,Human Antibodies,human antibodies,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1547-8181,15478181,Human Factors,human factors,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1557-7422,15577422,Human Gene Therapy,human gene therapy,SAGE,,hybrid,4710,,3454,SAGE Choice hybrid price list 2026.xlsx
2633-674X,2633674X,Human Geography,human geography,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1741-282X,1741282X,Human Relations,human relations,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1552-6712,15526712,Human Resource Development Review,human resource development review,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2634-4041,26344041,Human Systems,human systems,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1875-8703,18758703,Human Systems Management,human systems management,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2372-9708,23729708,Humanity & Society,humanity society,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2468-2438,24682438,ICGA Journal,icga journal,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1745-2651,17452651,IFLA Journal,ifla journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2321-029X,2321029X,IIM Kozhikode Society & Management Review,iim kozhikode society management review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1552-6968,15526968,"Illness, Crisis & Loss",illness crisis loss,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2162-271X,2162271X,ILRReview,ilrreview,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1541-4477,15414477,"Imagination, Cognition and Personality",imagination cognition personality,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1475-7583,14757583,Improving Schools,improving schools,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2632-6663,26326663,Incarceration,incarceration,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2732-4745,27324745,Inclusive Practices,inclusive practices,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
0975-2684,09752684,India Quarterly: A Journal of International Affairs,india quarterly journal international affairs,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
0973-0893,09730893,Indian Economic and Social History Review,indian economic social history review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2631-617X,2631617X,"Indian Economic Journal, The",indian economic journal,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
0975-5977,09755977,Indian Historical Review,indian historical review,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1179-9161,11799161,Indian Journal of Clinical Medicine,indian journal clinical medicine,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2454-2482,24542482,Indian Journal of Corporate Governance,indian journal corporate governance,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
0973-0672,09730672,Indian Journal of Gender Studies,indian journal gender studies,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2456-480X,2456480X,Indian Journal of Human Development,indian journal human development,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2457-0222,24570222,Indian Journal of Public Administration,indian journal public administration,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1423-0070,14230070,Indoor and Built Environment,indoor built environment,SAGE,,hybrid,4710,,3454,SAGE Choice hybrid price list 2026.xlsx
1931-8421,19318421,Industrial Biotechnology,industrial biotechnology,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2043-6858,20436858,Industry and Higher Education,industry higher education,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1741-6469,17416469,Information Development,information development,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1875-8754,18758754,Information Polity,information polity,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1473-8724,14738724,Information Visualization,information visualization,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1559-0879,15590879,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,innovations technology techniques cardiothoracic vascular surgery,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
0976-3465,09763465,Insight on Africa,insight africa,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2349-3011,23493011,Institutionalised Children Explorations and Beyond,institutionalised children explorations beyond,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1875-8835,18758835,Integrated Computer-Aided Engineering,integrated computer aided engineering,SAGE,,hybrid,4710,,3454,SAGE Choice hybrid price list 2026.xlsx
2768-3206,27683206,Integrative and Complementary Therapies,integrative complementary therapies,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
1571-4128,15714128,Intelligent Data Analysis,intelligent data analysis,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1875-8843,18758843,Intelligent Decision Technologies,intelligent decision technologies,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2211-0097,22110097,Intelligenza Artificiale,intelligenza artificiale,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1743-2790,17432790,Interdisciplinary Science Reviews,interdisciplinary science reviews,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2396-9407,23969407,International Bulletin of Mission Research,international bulletin mission research,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1748-0493,17480493,International Communication Gazette,international communication gazette,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1556-3855,15563855,International Criminal Justice Review,international criminal justice review,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2052-465X,2052465X,International Journal,international journal,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2048-4003,20484003,International Journal of Aeroacoustics,international journal aeroacoustics,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1875-8800,18758800,International Journal of Applied Electromagnetics and Mechanics,international journal applied electromagnetics mechanics,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2048-3988,20483988,International Journal of Architectural Computing,international journal architectural computing,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1724-6040,17246040,"International Journal of Artificial Organs, The",international journal artificial organs,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
1464-0651,14640651,International Journal of Behavioral Development,international journal behavioral development,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
1756-6878,17566878,International Journal of Bilingualism,international journal bilingualism,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2329-4892,23294892,International Journal of Business Communication,international journal business communication,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
2053-4353,20534353,International Journal of Care Coordination,international journal care coordination,SAGE,,hybrid,4440,,3256,SAGE Choice hybrid price list 2026.xlsx
2056-998X,2056998X,International Journal of Christianity & Education,international journal christianity education,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
3050-208X,3050208X,International Journal of Clinical Metabolism and Diabetes,international journal clinical metabolism diabetes,SAGE,,hybrid,4170,,3058,SAGE Choice hybrid price list 2026.xlsx
2976-8837,29768837,International Journal of Commerce and Contracting,international journal commerce contracting,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
2516-6034,25166034,"International Journal of Community and Social Development, The",international journal community social development,SAGE,,hybrid,3640,,2669,SAGE Choice hybrid price list 2026.xlsx
1745-2554,17452554,International Journal of Comparative Sociology,international journal comparative sociology,SAGE,,hybrid,3910,,2867,SAGE Choice hybrid price list 2026.xlsx
